latency_ms,additional_cost_per_side_bps,additional_round_trip_cost_bps,equal_weight_mean_net_return_bps,equal_weight_median_net_return_bps,positive_sessions,sessions
0.0,0.0,0.0,0.20713056098549912,0.21154238003198822,5,5
0.0,0.05,0.1,0.10713056098549911,0.11154238003198821,5,5
0.0,0.1,0.2,0.007130560985499107,0.011542380031988209,3,5
0.0,0.25,0.5,-0.2928694390145009,-0.2884576199680118,0,5
0.0,0.5,1.0,-0.7928694390145009,-0.7884576199680118,0,5
0.0,1.0,2.0,-1.7928694390145008,-1.7884576199680118,0,5
0.0,2.0,4.0,-3.7928694390145012,-3.788457619968012,0,5
0.0,5.0,10.0,-9.7928694390145,-9.788457619968012,0,5
50.0,0.0,0.0,0.193650919923359,0.18570927218847016,5,5
50.0,0.05,0.1,0.09365091992335901,0.08570927218847016,5,5
50.0,0.1,0.2,-0.006349080076640995,-0.014290727811529846,2,5
50.0,0.25,0.5,-0.30634908007664097,-0.31429072781152984,0,5
50.0,0.5,1.0,-0.806349080076641,-0.8142907278115299,0,5
50.0,1.0,2.0,-1.8063490800766409,-1.81429072781153,0,5
50.0,2.0,4.0,-3.806349080076641,-3.81429072781153,0,5
50.0,5.0,10.0,-9.806349080076641,-9.81429072781153,0,5
100.0,0.0,0.0,0.17656392058525436,0.195523556208389,5,5
100.0,0.05,0.1,0.07656392058525435,0.09552355620838898,5,5
100.0,0.1,0.2,-0.023436079414745643,-0.004476443791611023,2,5
100.0,0.25,0.5,-0.3234360794147456,-0.304476443791611,0,5
100.0,0.5,1.0,-0.8234360794147456,-0.804476443791611,0,5
100.0,1.0,2.0,-1.8234360794147455,-1.804476443791611,0,5
100.0,2.0,4.0,-3.8234360794147455,-3.804476443791611,0,5
100.0,5.0,10.0,-9.823436079414746,-9.80447644379161,0,5
250.0,0.0,0.0,0.1683223104263897,0.19489694146976633,5,5
250.0,0.05,0.1,0.0683223104263897,0.09489694146976632,4,5
250.0,0.1,0.2,-0.03167768957361031,-0.005103058530233684,2,5
250.0,0.25,0.5,-0.3316776895736103,-0.3051030585302337,0,5
250.0,0.5,1.0,-0.8316776895736101,-0.8051030585302337,0,5
250.0,1.0,2.0,-1.8316776895736102,-1.8051030585302337,0,5
250.0,2.0,4.0,-3.8316776895736107,-3.805103058530234,0,5
250.0,5.0,10.0,-9.83167768957361,-9.805103058530234,0,5
500.0,0.0,0.0,0.13839730566523006,0.1274388834666746,5,5
500.0,0.05,0.1,0.03839730566523008,0.027438883466674585,4,5
500.0,0.1,0.2,-0.06160269433476993,-0.07256111653332542,1,5
500.0,0.25,0.5,-0.36160269433476994,-0.3725611165333254,0,5
500.0,0.5,1.0,-0.8616026943347699,-0.8725611165333254,0,5
500.0,1.0,2.0,-1.8616026943347699,-1.8725611165333254,0,5
500.0,2.0,4.0,-3.8616026943347697,-3.8725611165333254,0,5
500.0,5.0,10.0,-9.861602694334769,-9.872561116533326,0,5
1000.0,0.0,0.0,0.10598608298341831,0.1445327887293778,4,5
1000.0,0.05,0.1,0.005986082983418323,0.0445327887293778,4,5
1000.0,0.1,0.2,-0.09401391701658168,-0.05546721127062221,0,5
1000.0,0.25,0.5,-0.39401391701658167,-0.3554672112706222,0,5
1000.0,0.5,1.0,-0.8940139170165816,-0.8554672112706222,0,5
1000.0,1.0,2.0,-1.8940139170165815,-1.8554672112706223,0,5
1000.0,2.0,4.0,-3.8940139170165815,-3.8554672112706223,0,5
1000.0,5.0,10.0,-9.894013917016581,-9.855467211270621,0,5
