session_id,label,feature_observations,book_updates,qualifying_signals,qualifying_long_signals,qualifying_short_signals,ignored_while_position_open,skipped_no_entry_quote,incomplete_no_exit_quote,completed_trades,completed_long_trades,completed_short_trades,mean_gross_return_bps,median_gross_return_bps,positive_trade_rate,cumulative_gross_return_bps,minimum_trade_return_bps,maximum_trade_return_bps,break_even_additional_cost_per_side_bps,long_mean_gross_return_bps,short_mean_gross_return_bps,mean_entry_quote_wait_ms,p95_entry_quote_wait_ms,max_entry_quote_wait_ms,mean_exit_quote_wait_ms,p95_exit_quote_wait_ms,max_exit_quote_wait_ms,mean_actual_holding_seconds
20260824_135129,afternoon_1,600,243381,278,162,116,97,1,0,180,99,81,0.2222390888909076,-0.001270324397895095,0.49444444444444446,40.003036000363366,-3.818154049788358,4.254570443931183,0.1111195444454538,0.32923651120559344,0.09146446161740268,16.76677777777778,66.41399999999999,259.436,21.76455,94.87339999999995,274.09,1.02176455
20260825_084855,morning_1,600,76516,190,102,88,78,0,0,112,57,55,0.13866322417761415,-0.0012514123770568375,0.24107142857142858,15.530281107892785,-0.8382680631124906,1.5892877500589542,0.06933161208880707,0.12065026104472085,0.15733120415170357,75.52592857142857,285.57424999999984,335.335,69.47875892857142,236.53664999999987,778.759,1.0694787589285715
20260826_085550,morning_2,600,101357,259,127,132,105,0,1,153,77,76,0.195523556208389,-0.0012687547334966354,0.35294117647058826,29.915104099883514,-2.863842407061501,2.266224860854038,0.0977617781041945,0.2275340626774185,0.16309185886476704,65.27539869281046,307.115,481.117,59.55806535947711,239.66300000000007,631.9970000000001,1.0595580653594772
20260826_144545,evening_1,600,161913,226,93,133,76,0,0,150,66,84,0.10219743021674758,-0.001282799253488065,0.31333333333333335,15.329614532512137,-4.563797725819496,7.197943444730015,0.05109871510837379,-0.0961707892051707,0.2580581740482549,43.34576,192.52089999999987,564.868,31.943139999999996,117.478,308.161,1.03194314
20260826_151328,late_afternoon_1,600,130369,246,115,131,93,0,0,153,71,82,0.22419630343261351,-0.001284317443506211,0.3333333333333333,34.302034425189866,-1.5116438998885595,3.8774240328276477,0.11209815171630676,0.3093048637638383,0.1505047450970408,33.39249673202614,143.36020000000002,225.40099999999998,41.12983660130719,163.49540000000005,532.402,1.0411298366013073
